entity,code,year,gini-coefficient,world-region,gdp-per-capita,homicide-rate-100000,hdi,political-corruption-index,rule-of-law-index,urbanization
Albania,ALB,1996,0.2701034247875213,Europe,3965.6853,8.380375,0.647,0.682,0.496,38.899605
Albania,ALB,2002,0.3173897862434387,Europe,5608.9624,6.891948,0.697,0.744,0.515,43.152042
Albania,ALB,2005,0.3059565424919128,Europe,6858.4673,5.006243,0.723,0.722,0.542,45.993767
Albania,ALB,2008,0.2998467087745666,Europe,8522.13,3.1073225,0.749,0.757,0.516,49.38507
Albania,ALB,2012,0.2896048426628113,Europe,9634.334,5.3951817,0.79,0.766,0.525,53.863754
Albania,ALB,2014,0.3459889590740204,Europe,9942.276,4.614723,0.797,0.767,0.551,54.732582
Albania,ALB,2015,0.327537328004837,Europe,10192.529,2.2079382,0.797,0.767,0.551,55.15793
Albania,ALB,2016,0.3373629748821258,Europe,10547.255,2.7261436,0.797,0.767,0.551,55.57387
Albania,ALB,2017,0.3305566310882568,Europe,10958.307,2.0012128,0.798,0.763,0.543,55.980278
Albania,ALB,2018,0.3014828264713287,Europe,11426.92,2.2803986,0.801,0.745,0.553,56.377
Albania,ALB,2019,0.301157683134079,Europe,11715.307,2.2530255,0.805,0.688,0.569,56.76391
Albania,ALB,2020,0.2941963076591491,Europe,11372.541,2.1239898,0.794,0.688,0.563,57.140858
Algeria,DZA,2011,0.2761573195457458,Africa,13204.0,0.75873816,0.718,0.67,0.252,67.7344
Armenia,ARM,1999,0.3621972501277923,Asia,5000.4526,2.8415496,0.661,0.771,0.282,65.16787
Armenia,ARM,2001,0.3536435961723327,Asia,5457.5103,2.8531137,0.672,0.866,0.217,64.822815
Armenia,ARM,2002,0.3477967381477356,Asia,6082.146,2.2581267,0.682,0.866,0.218,64.739624
Armenia,ARM,2004,0.3750563263893127,Asia,7229.6484,2.746034,0.7,0.866,0.224,64.59727
Armenia,ARM,2005,0.3599235415458679,Asia,8006.9604,1.9292492,0.711,0.866,0.221,64.533424
